                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0688,                0.71143,                 1.1499,                0.80204,                0.77037,                0.86996,                 0.5574,                 1.3677,                 1.6192,                 1.3436,              0.0013328,              0.0013328,              0.0013328
                     36,                 1.0337,                0.70839,                 1.1494,                0.91566,                0.76286,                0.86346,                0.51925,                 1.5084,                 1.2369,                 1.4424,                0.00133,                0.00133,                0.00133
                     37,                 1.0778,                0.70391,                 1.1488,                0.80032,                0.83145,                 0.8893,                 0.5407,                 1.3775,                  1.236,                 1.3776,              0.0013271,              0.0013271,              0.0013271
                     38,                 1.0289,                0.70277,                 1.1087,                  0.666,                0.78575,                0.87289,                0.54351,                 1.3481,                 1.3365,                 1.3698,              0.0013243,              0.0013243,              0.0013243
                     39,                 1.0579,                0.70161,                  1.124,                 0.8812,                0.74302,                0.86875,                0.54613,                 1.3343,                 1.1613,                 1.3511,              0.0013215,              0.0013215,              0.0013215
                     40,                 1.0819,                0.71077,                 1.1431,                0.91943,                0.80974,                0.90758,                0.54324,                 1.3574,                 1.3509,                 1.3273,              0.0013187,              0.0013187,              0.0013187
                     41,                 1.0439,                0.68575,                 1.1196,                0.89774,                0.79365,                0.90425,                0.52186,                  1.416,                 1.5948,                  1.366,              0.0013158,              0.0013158,              0.0013158
                     42,                 1.0081,                 0.6436,                 1.0987,                0.81387,                0.83574,                0.91398,                  0.536,                 1.3327,                 1.4598,                 1.3111,               0.001313,               0.001313,               0.001313
                     43,                 1.0388,                0.63159,                 1.0966,                0.93421,                0.85009,                0.91758,                0.57741,                 1.2129,                0.92719,                 1.2496,              0.0013102,              0.0013102,              0.0013102
                     44,                 1.0441,                0.65926,                 1.1007,                 0.9313,                0.84947,                 0.9207,                0.58848,                 1.2686,                0.90046,                 1.2778,              0.0013073,              0.0013073,              0.0013073
                     45,                 1.0759,                0.65229,                 1.0981,                0.96651,                0.85544,                0.90942,                 0.5827,                 1.2952,                0.95805,                 1.3025,              0.0013045,              0.0013045,              0.0013045
                     46,                 1.0048,                0.63458,                 1.0882,                0.95956,                 0.8553,                0.89546,                0.59602,                 1.2481,                0.95683,                 1.2935,              0.0013017,              0.0013017,              0.0013017
                     47,                 1.0459,                0.64778,                 1.0972,                0.94922,                0.86296,                0.88523,                0.60368,                  1.233,                0.91905,                 1.2815,              0.0012988,              0.0012988,              0.0012988
                     48,                 1.0761,                0.67613,                 1.1363,                0.94926,                0.87222,                 0.9141,                0.58971,                 1.2899,                0.91044,                 1.3378,               0.001296,               0.001296,               0.001296
                     49,                0.98372,                0.67162,                 1.0772,                0.96901,                0.87673,                0.92644,                0.60128,                 1.3016,                0.97091,                 1.3437,              0.0012932,              0.0012932,              0.0012932
                     50,                 1.0181,                0.68055,                 1.1173,                0.89809,                0.93148,                0.93128,                0.62169,                 1.2976,                 0.9298,                 1.3589,              0.0012904,              0.0012904,              0.0012904
                     51,                0.97972,                0.62309,                 1.0633,                0.90594,                 0.9259,                0.93084,                0.60932,                 1.2907,                0.87803,                 1.3671,              0.0012875,              0.0012875,              0.0012875
                     52,                 1.0144,                0.64564,                 1.1084,                0.92478,                0.91526,                0.93104,                0.59708,                 1.2879,                0.84165,                 1.3487,              0.0012847,              0.0012847,              0.0012847
                     53,                0.98545,                0.60616,                 1.0834,                0.91729,                0.90637,                0.93032,                0.61193,                 1.3067,                0.86762,                 1.3436,              0.0012819,              0.0012819,              0.0012819
                     54,                0.95584,                0.57938,                 1.0596,                0.91593,                0.90078,                0.93636,                0.61486,                 1.2879,                0.82481,                 1.3232,               0.001279,               0.001279,               0.001279
                     55,                 0.9866,                0.62733,                 1.1018,                0.93489,                0.85818,                0.93823,                0.61343,                 1.2747,                 0.8703,                 1.3256,              0.0012762,              0.0012762,              0.0012762
                     56,                 1.0261,                0.65546,                  1.105,                0.92212,                0.86445,                0.91902,                  0.586,                 1.2815,                0.85878,                  1.309,              0.0012734,              0.0012734,              0.0012734
                     57,                0.95569,                0.62996,                 1.0996,                0.92505,                 0.8756,                0.92891,                0.61157,                 1.2342,                0.92268,                 1.2757,              0.0012706,              0.0012706,              0.0012706
                     58,                0.95648,                0.61867,                 1.0821,                0.92597,                0.87222,                0.92583,                0.61473,                 1.2098,                 0.9236,                 1.2789,              0.0012677,              0.0012677,              0.0012677
                     59,                  0.932,                0.57653,                 1.0398,                0.89873,                0.88148,                 0.9285,                0.61823,                 1.2023,                 0.8158,                 1.2646,              0.0012649,              0.0012649,              0.0012649
                     60,                      1,                0.62959,                 1.0837,                0.95964,                0.88985,                0.93604,                0.61838,                 1.2388,                0.75466,                 1.2766,              0.0012621,              0.0012621,              0.0012621
                     61,                0.95146,                0.58322,                 1.0479,                0.95364,                0.88983,                0.94206,                0.63106,                 1.2058,                0.76993,                 1.2776,              0.0012592,              0.0012592,              0.0012592
                     62,                0.95528,                0.58715,                  1.086,                0.92021,                0.91287,                0.94294,                0.62551,                 1.2549,                0.75276,                 1.3102,              0.0012564,              0.0012564,              0.0012564
                     63,                0.93735,                0.57607,                 1.0533,                0.92986,                0.89718,                0.92764,                0.57282,                  1.364,                0.80086,                 1.3757,              0.0012536,              0.0012536,              0.0012536
                     64,                0.98098,                 0.6087,                 1.0736,                0.93929,                0.89169,                0.93542,                0.64232,                 1.3219,                0.82172,                 1.3185,              0.0012507,              0.0012507,              0.0012507
                     65,                0.93409,                0.57851,                 1.0572,                0.93146,                0.89909,                0.93589,                0.64271,                 1.2889,                0.85037,                 1.3036,              0.0012479,              0.0012479,              0.0012479
                     66,                0.95916,                0.59005,                 1.0857,                 0.9241,                0.88519,                0.92839,                0.62998,                 1.2673,                0.83192,                 1.2972,              0.0012451,              0.0012451,              0.0012451
                     67,                0.93205,                 0.5742,                 1.0511,                0.88871,                0.87593,                0.92087,                0.61537,                 1.2906,                0.86964,                 1.3024,              0.0012423,              0.0012423,              0.0012423
                     68,                0.97836,                0.61202,                 1.0816,                 0.9069,                0.91097,                0.90909,                0.57187,                 1.2915,                 0.8707,                 1.2991,              0.0012394,              0.0012394,              0.0012394
                     69,                0.95332,                0.58786,                 1.0764,                0.89235,                0.90878,                0.91535,                0.59574,                  1.292,                0.83544,                  1.326,              0.0012366,              0.0012366,              0.0012366
                     70,                 0.9487,                0.58749,                  1.091,                0.90468,                0.84829,                0.90832,                0.60263,                 1.3292,                 0.9259,                 1.3472,              0.0012338,              0.0012338,              0.0012338
                     71,                0.90652,                0.56486,                 1.0527,                  0.899,                  0.876,                0.90547,                0.59499,                 1.2842,                0.98481,                 1.3073,              0.0012309,              0.0012309,              0.0012309
